ranking_id,assessor_id,task_id,choice_set,observed_ranking
49,2,19,"0,1,2,3,4,7","1,4,2,7,3,0"
50,2,20,"0,1,2,3,4,7,9","1,7,2,3,9,4,0"
51,2,21,"0,7","7,0"
52,2,22,"1,2,4,7,9","1,2,4,9,7"
53,2,23,"4,7","7,4"
54,2,24,"0,1,2,3,4,7,9","1,2,4,3,9,7,0"
55,2,25,"2,3,9","2,3,9"
56,3,1,"1,2,6","2,6,1"
57,3,2,"1,2","2,1"
58,3,3,"0,2","2,0"
59,3,4,"0,4","4,0"
60,3,5,"0,1,2,4,6","2,6,4,0,1"
61,3,6,"1,2,4","4,2,1"
62,3,7,"0,1,4,6","4,6,1,0"
63,3,8,"2,4,6","2,4,6"
64,3,9,"0,2","2,0"
65,3,10,"0,2,4,6","2,6,4,0"
66,3,11,"0,1,2","2,1,0"
67,3,12,"0,2","2,0"
68,3,13,"1,2,6","2,6,1"
69,3,14,"0,2,6","2,6,0"
70,3,15,"1,6","6,1"
71,3,16,"0,2,4,6","2,6,4,0"
72,3,17,"0,1,2,4,6","2,4,6,1,0"
73,3,18,"1,2","2,1"
74,3,19,"0,4","4,0"
75,3,20,"1,2,4,6","2,6,4,1"
76,3,21,"0,1,4,6","4,6,1,0"
77,3,22,"0,6","6,0"
78,3,23,"4,6","6,4"
79,3,24,"2,4","2,4"
80,3,25,"0,1,4,6","4,6,0,1"
81,3,26,"1,4,6","6,4,1"
82,3,27,"1,2","2,1"
83,3,28,"0,1,2,4","2,4,0,1"
84,3,29,"0,1,4,6","6,4,1,0"
85,3,30,"0,2","2,0"
86,3,31,"0,2,4","4,2,0"
87,3,32,"1,2,4","2,4,1"
88,3,33,"1,2,4,6","1,2,4,6"
89,4,1,"1,7,9","1,9,7"
90,4,2,"1,3,4,5,8,9","4,1,9,3,8,5"
91,4,3,"5,8,9","5,9,8"
92,4,4,"1,3,4,5,7,8,9","4,1,7,3,9,8,5"
93,4,5,"4,5","4,5"
94,4,6,"1,5,8","1,8,5"
95,4,7,"4,7,8,9","7,4,8,9"
96,4,8,"1,3,4,5,7,8,9","4,1,3,8,9,5,7"
97,4,9,"1,3,4,5,7,8,9","5,4,1,3,8,7,9"
98,4,10,"1,3,9","1,3,9"
99,4,11,"3,5","5,3"
100,4,12,"1,5,7,9","1,5,7,9"
101,4,13,"1,3,4,8,9","4,1,3,9,8"
102,4,14,"3,5,7,8,9","8,9,5,3,7"
103,4,15,"1,3,5,7,9","1,3,9,5,7"
104,4,16,"1,7","1,7"
105,4,17,"1,3,4,5,7,8","4,1,3,8,5,7"
106,4,18,"1,3,4,5,8,9","4,1,3,9,8,5"
107,4,19,"1,3,5,7,8,9","1,9,8,3,5,7"
108,4,20,"3,5,7","3,5,7"
109,4,21,"1,3,4,5,7,8,9","4,1,8,3,7,5,9"
110,4,22,"1,3,4,5,7,8,9","3,4,1,8,5,7,9"
111,4,23,"1,7,8","1,8,7"
112,4,24,"7,8,9","9,8,7"
113,4,25,"3,5,9","9,5,3"
114,4,26,"1,3,5,7,8","1,8,5,3,7"
115,4,27,"1,3,4,5,7,8,9","4,1,8,5,9,3,7"
116,4,28,"3,4,5,8,9","4,8,9,3,5"
117,4,29,"1,3,4,5,8,9","4,1,3,8,5,9"
118,4,30,"1,3,4,5,7","4,1,5,3,7"
119,4,31,"3,4,5,7,8","8,4,5,7,3"
120,4,32,"1,4,7","4,1,7"
121,4,33,"1,3,5,7,8,9","1,8,9,5,3,7"
122,4,34,"1,3,4,5,7,8,9","4,1,8,5,7,3,9"
123,4,35,"4,5,8","4,8,5"
124,4,36,"1,3,4,5,7,8,9","4,1,9,3,8,5,7"
125,4,37,"5,8","8,5"
126,4,38,"3,4,5,8,9","4,9,8,5,3"
127,4,39,"1,4","4,1"
128,4,40,"3,4,5,7,8","4,3,8,5,7"
129,4,41,"1,5,7","1,5,7"
130,4,42,"1,5","1,5"
131,4,43,"1,3,4,5,7,8,9","7,4,1,8,3,9,5"
132,4,44,"1,3,4,7,8,9","4,1,9,8,7,3"
133,4,45,"4,5,8","4,8,5"
134,4,46,"1,5","1,5"
135,4,47,"1,3,5,8","5,1,8,3"
136,4,48,"1,4,5,8,9","4,1,9,8,5"
137,4,49,"3,7","3,7"
138,4,50,"1,8","1,8"
139,4,51,"1,3,4,5,7,8,9","4,1,8,3,9,5,7"
140,4,52,"1,4,5,7,8,9","4,1,8,5,9,7"
141,4,53,"1,3,5,7,8,9","1,8,5,7,9,3"
142,4,54,"1,3,9","1,9,3"
143,4,55,"1,3","1,3"
144,4,56,"1,3,4,5,7,8,9","4,1,8,5,3,9,7"
145,4,57,"1,3,4,5,7,8,9","4,1,8,9,3,5,7"
146,4,58,"1,3,5,7,8,9","1,8,5,9,3,7"
147,4,59,"4,5","4,5"
148,4,60,"1,3,5,7,9","1,3,5,7,9"
149,4,61,"3,5,8","3,8,5"
150,4,62,"1,3,4,5,7,8,9","4,1,8,3,5,9,7"
151,4,63,"1,4,8,9","4,1,9,8"
152,5,1,"2,3,5","2,3,5"
153,5,2,"3,4,5,7,8,9","3,4,7,9,5,8"
154,5,3,"3,4,8","4,3,8"
155,5,4,"2,4,5,7","7,2,4,5"
156,5,5,"2,3,5,7,8,9","7,3,2,9,5,8"
157,5,6,"2,3,5,7,8","3,7,2,5,8"
158,5,7,"4,9","4,9"
159,5,8,"3,7,8","3,7,8"
160,5,9,"3,4,5,7","4,3,7,5"
161,5,10,"2,3,4,5,7,8","7,2,4,3,5,8"
162,5,11,"2,4,8,9","4,2,9,8"
163,5,12,"2,3,4,5,7,8,9","5,3,7,4,2,9,8"
164,5,13,"2,4,5,7","7,4,2,5"
165,5,14,"2,8","2,8"
166,5,15,"2,4,7,8","7,2,4,8"
167,5,16,"5,7","7,5"
168,5,17,"4,7,9","7,4,9"
169,5,18,"2,3,4,7,8,9","7,4,2,3,9,8"
170,5,19,"3,4,5,7,8,9","7,3,4,9,5,8"
171,5,20,"3,4","3,4"
172,5,21,"2,9","2,9"
173,5,22,"2,3,5,7,9","7,2,9,3,5"
174,5,23,"2,4,5","4,2,5"
175,5,24,"8,9","9,8"
176,5,25,"2,3,4,5,7,8","7,4,3,2,5,8"
177,5,26,"2,3,4,5,8","4,2,3,5,8"
178,5,27,"2,3,4,5,7,9","3,7,4,2,9,5"
179,5,28,"5,7,8,9","7,9,5,8"
180,5,29,"5,8,9","9,5,8"
181,5,30,"2,3","3,2"
182,5,31,"2,3,4,5,7,8,9","3,7,2,4,9,5,8"
183,5,32,"2,3,4,5,7,8,9","7,4,2,3,9,5,8"
184,5,33,"5,8","5,8"
185,5,34,"2,3,4,5,7,8,9","7,4,3,2,9,5,8"
186,5,35,"3,4,5,7,8,9","7,8,4,3,9,5"
187,5,36,"2,3,4,5,7,8,9","7,2,4,9,3,5,8"
188,5,37,"5,9","9,5"
189,5,38,"2,4,5,7,9","7,4,2,9,5"
190,5,39,"7,8","7,8"
191,5,40,"3,4,5,7,8,9","7,4,3,9,5,8"
192,5,41,"2,3,4,5,7,8","7,2,3,4,5,8"
193,5,42,"2,3,4,5,7,8,9","3,7,4,2,8,9,5"
194,5,43,"4,7,8,9","7,4,9,8"
195,5,44,"2,3,4,5,7","3,7,4,2,5"
196,5,45,"3,9","3,9"
197,5,46,"2,3,4,9","3,2,4,9"
198,5,47,"2,3,5,7,8,9","3,7,2,9,5,8"
199,5,48,"2,4,5","4,2,5"
